Plot,Rep,Trt,PREC1CRAG,PREC2CRAG,PRES1CRAG,PRES2CRAG,PREC1LQ,PREC2LQ,PRES1LQ,PRES2LQ,PREC1NS,PREC2NS,PRES1NS,PRES2NS,PREC1LT,PREC2LT,PRES1LT,PRES2LT,PREC1GAL,PREC2GAL,PRES1GAL,PRES2GAL,PREC1GRAS,PREC2GRAS,PRES1GRAS,PRES2GRAS,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,NOCRUNCH1,CRUNCH1,NOCRUNCH2,CRUNCH2,NOCRUNCH3,CRUNCH3,NOCRUNCH4,CRUNCH4,NOCRUNCH5,CRUNCH5,NOCRUNCH6,CRUNCH6,NOCRUNCH7,CRUNCH7,NOCRUNCH8,CRUNCH8,NOCRUNCH9,CRUNCH9,NOCRUNCH10,CRUNCH10,Ryewt,Mort0DAT,NumPop0DAT,PopDist0DAT,Mort7DAT,NumPop7DAT,PopDist7DAT,Mort14DAT,NumPop14DAT,PopDist14DAT,Mort21DAT,NumPop21DAT,PopDist21DAT,Mort28DAT,NumPop28DAT,PopDist28DAT,28DATC1CRAG,28DATC2CRAG,28DATS1CRAG,28DATS2CRAG,28DATC1LQ,28DATC2LQ,28DATS1LQ,28DATS2LQ,28DATC1NS,28DATC2NS,28DATS1NS,28DATS2NS,28DATC1LT,28DATC2LT,28DATS1LT,28DATS2LT,28DATC1PIG,28DATC2PIG,28DATS1PIG,28DATS2PIG,28DATC1GAL,28DATC2GAL,28DATS1GAL,28DATS2GAL,28DATC1SCRAB,28DATC2SCRAB,28DATS1SCRAB,28DATS2SCRAB,28DATC1LCRAB,28DATC2LCRAB,28DATS1LCRAB,28DATS2LCRAB,28DATC1FP,28DATC2FP,28DATS1FP,28DATS2FP,28DATC1STK,28DATC2STK,28DATS1STK,28DATS2STK,18DATC1BARN,28DATC2BARN,28DATS1BARN,28DATS2BARN,28DATC1YF,28DATC2YF,28DATS1YF,28DATS2YF,Stand,Ht1,Ht2,Ht3,Ht4,Ht5,Ht6,Ht7,Ht8,Ht9,Ht10,Injury7DAE,Injury14DAE,Injury21DAE,Injury28DAE,CRAGnum,CRAGwt,Lqnum,LQwt,Nsnum,NSwt,Ltnum,LTwt,GALnum,GALwt,PIGnum,PIGwt,CRABnum,CRABwt,Fpnum,FPwt,BARNnum,BARNwt,YFnum,YFwt,STKnum,STKwt,GFnum,GFwt
101,1,W,0,2,,8-12cm,7,29,5-15cm,4-20cm,2,0,2-4lf,,2,0,8-16cm,,3,1,4-6lf,4lf,15,20,2lf,2lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10cm,1,,5lf,,,,,,,,,,,1,,4lf,2,3,t,t,6,7,t,t,1,,3lf,,,,,,,1,,3lf,,,,,33,68,77,80,79,84,81,75,70,82,78,0,0,0,0,,,2,3.84,1,0.62,,,1,0.32,1,1.38,47,138.68,3,5.12,,,,,3,6.34,,
102,1,WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,82,87,90,89,88,85,82,81,89,78,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
103,1,Std1,1,0,4cm,,9,11,c-6lf,2-6lf,3,2,2lf,2lf,0,4,,2-5cm,1,2,2lf,2lf,120,51,1-3lf,1-2lf,9,7,11,14,16,4,6,13,5,7,4.6,0.7,5.5,0.6,5.3,0.9,5.8,1.1,5.3,0.8,3.3,0.5,4.4,0.6,5.6,1,5,0.8,5.3,0.8,99,,50,,5,15,001,50,20,010,60,20,010,100,20,010,,,,,1,2,7cm,6lf,,,,,,2,,15cm,,,,,,,,,13,3,t,4lf,10,11,t,4lf,2,2,t,3lf,,,,,,,,,,,,,18,69,37,71,50,46,59,55,50,56,51,0,5,10,25,,,2,0.39,,,2,4.21,,,,,63,68.12,6,4.45,,,,,1,0.48,1,3.66
104,1,Std2,1,1,2cm,4cm,7,5,c-6lf,2-4lf,0,1,,c,0,1,,6cm,2,3,c-4lf,2lf,116,136,1-4lf,1-3lf,4,1,8,3,6,5,5,4,7,3,4.6,0.7,3.7,0.6,5.1,0.9,4.7,0.6,5.2,1,6.5,1.3,4.9,0.6,5.4,1.2,5.2,0.8,5,0.9,121.5,,30,,10,10,001,80,20,001,80,15,001,100,20,010,1,2,30cm,10cm,1,1,20cm,7cm,,,,,,,,,,,,,,,,,3,6,t,t,10,4,t,t,,,,,,,,,,,,,,,,,29,69,41,63,70,68,76,66,57,73,62,0,5,10,25,3,56.8,,,,,,,,,,,80,213.63,,,1,0.92,,,,,1,0.62
105,1,Std3,6,0,3-8cm,,2,10,c,2-5lf,4,2,c-2lf,c,0,1,,1cm,3,1,c-2lf,2lf,169,104,1-4lf,1-2lf,1,3,7,5,6,3,7,2,5,2,5.8,1.2,5.6,0.8,4.7,0.8,4.4,0.7,5.1,1.2,4.9,0.8,5.7,0.9,4.6,0.8,4.7,0.8,5.2,0.9,125.2,,30,,10,10,001,80,20,001,85,15,010,100,20,010,,1,,20cm,,,,,,,,,,,,,,,,,,,,,5,5,t,t,8,12,t,t,,,,,,,,,,,,,,,,,25,67,70,76,53,68,65,75,79,54,57,0,5,10,30,1,11.03,,,,,,,,,,,47,185.27,1,0.36,,,,,,,,
106,1,Early1,1,38,3cm,2-10cm,4,5,4lf,4lf,0,2,,2lf,0,0,,,0,2,,2-4lf,50,12,2lf,2-3lf,5,5,2,4,3,9,5,7,5,2,5,0.7,4,0.6,4.6,0.7,4.6,0.8,5.4,0.8,4.9,0.6,4.8,1,4.4,0.6,4.1,0.5,4.5,0.7,143.1,,6,,15,5,001,85,15,001,85,15,010,100,20,010,7,,40cm,,,,,,,,,,,,,,,,,,,,,,3,3,3lf,t,2,7,3lf,t,,,,,,,,,,,,,,,,,35,53,59,55,55,63,46,52,60,61,68,0,5,10,25,11,127.17,2,5.21,,,,,,,,,38,144.03,1,0.36,,,1,0.48,,,,
107,1,Early2,12,79,2-8cm,2-10cm,3,5,2lf,4-6lf,0,0,,,0,0,,,0,2,,2lf,33,4,2lf,2lf,1,3,4,5,5,6,4,4,3,4,5.2,1.9,5.6,0.6,4.3,0.6,5.2,0.8,4.5,0.5,5,0.6,5.2,0.9,4.7,0.6,3.6,0.4,4.9,0.6,172.7,,5,,20,5,001,80,15,001,85,15,010,100,20,010,2,10,40cm,40cm,,,,,,,,,,,,,,,,,,,,,,2,,t,12,4,t,4lf,2,,t,,,,,,,,,,,,,,27,54,55,58,47,53,39,58,53,40,49,0,5,10,30,15,193.2,,,,,,,,,,,22,57.78,1,1.42,,,,,,,,
108,1,Early3,14,60,1-6cm,2-8cm,3,1,2-4lf,4lf,0,1,,2lf,0,0,,,0,,,,7,6,2lf,2lf,2,4,4,4,8,5,3,4,7,1,3.9,0.6,4,0.5,3.9,0.6,3.3,0.5,3.8,0.5,3.4,0.4,4.3,0.6,4.4,0.7,4.4,0.5,4.8,0.6,108.7,,9,,30,5,001,80,15,001,90,15,010,100,20,010,5,2,40cm,30cm,,,,,,,,,,,,,,,,,,,,,,2,,3lf,6,3,t,t,,,,,,,,,,,,,,,,,33,45,56,46,57,61,58,54,59,36,46,0,10,10,25,8,162.47,,,,,,,,,,,18,43.83,1,1.23,,,,,,,,
201,2,Early1,1,0,6lf,,10,4,4-8lf,2-6lf,0,0,,,19,1,1-4lf,3lf,8,0,c-4lf,,17,12,1-2llf,1-2lf,10,5,9,6,6,6,8,7,3,4,4.7,0.8,4.7,0.9,4.5,0.8,3.5,0.6,4,0.7,5,0.9,4.7,1,4.4,0.6,5.1,1.1,4,0.6,130.7,,20,,15,10,011,75,25,011,85,30,010,100,40,010,,,,,,1,,5cm,,,,,4,1,fl,7cm,,,,,,,,,,2,,t,12,18,t,t,,,,,,,,,,,,,,,,,28,42,65,51,53,76,58,48,61,71,55,0,20,20,30,,,2,17.64,,,13,48.53,,,,,43,76.32,1,1.76,,,,,,,,
202,2,Early3,1,0,4lf,,22,14,2-6lf,2-6lf,3,6,c,c-2lf,1,0,2lf,,3,2,c-2lf,c-2lf,26,37,1-2lf,1-2lf,4,3,5,5,3,4,2,5,9,2,3.7,0.6,3.4,0.5,4.2,0.5,3.7,0.4,3.8,0.5,4.8,0.6,4,0.6,4.1,0.6,3.7,0.5,4.1,0.7,179.1,,7,,15,5,001,85,15,010,90,30,010,100,40,010,1,,20cm,,3,2,8lf,10cm,,,,,,,,,,,,,,,,,1,,t,,6,6,t,t,3,,5lf,,,,,,,,,,,,,,36,58,60,57,60,64,52,56,37,52,48,10,10,10,25,1,91.2,4,7.97,,,,,,,,,27,78.81,2,7.18,,,,,,,,
203,2,Std1,7,0,3-5cm,,18,8,c-6lf,2-12lf,6,6,c-2lf,2-4lf,0,0,,,7,2,2-6lf,2-4lf,41,40,1-2lf,1-3lf,8,17,7,1,6,5,7,10,9,3,5.7,1.3,5.5,1.1,5.7,1.1,5.6,1,5,0.8,5.8,1.2,4.1,1,5.2,0.9,5.5,0.6,6.2,1.4,158.2,,20,,10,15,001,80,20,001,85,15,010,100,20,010,,,,,3,4,50cm,6lf,,1,,2lf,1,1,10cm,,,,,,,,,,,,,,19,5,t,t,1,,t,,,,,,,,,,,,,,28,54,51,42,35,46,31,46,45,37,41,10,20,20,40,1,85.6,8,324.44,,,1,5.02,,,,,18,48.45,,,,,,,,,,
204,2,Early2,0,1,,8lf,11,36,2-6lf,2-10lf,4,5,c-2lf,2-4lf,0,0,,,2,1,2-4lf,4lf,19,19,1-2lf,1-2lf,4,8,2,4,7,6,2,9,5,7,3.7,0.8,3.6,0.6,4.1,0.6,4.4,0.7,3.2,0.4,4.4,0.8,2.9,0.4,3.7,0.5,4.5,0.7,4.1,0.6,135.9,,6,,10,10,0011,90,20,010,85,30,010,100,30,010,,,,,6,3,20cm,10cm,,,,,,,,,,,,,,,,,1,,t,,6,6,t,t,,,,,,1,,4lf,,,,,,,,,36,68,58,68,69,56,60,62,46,67,68,10,5,10,25,,,6,70.78,,,,,,,,,21,88.81,,,,,,,,,,
205,2,Std3,0,2,,2-4cm,13,5,c-5lf,2-4lf,1,0,2lf,,1,1,3cm,4cm,0,1,,2lf,62,42,1-3lf,1-2lf,1,5,5,2,5,1,2,1,4,1,4.4,0.8,5.1,0.7,5.1,0.7,5.4,1.2,4.2,0.8,5,0.9,4,0.5,4.6,0.8,5.1,0.8,4.1,0.5,159.5,,50,,5,20,011,60,40,010,85,30,010,100,30,010,2,,15cm,,1,2,6lf,15cm,2,,4lf,,1,,25cm,,,,,,,,,,,2,,t,5,7,4lf,t,,,,,,,,,,,,,,,,,31,53,71,69,71,73,68,67,52,60,62,0,5,5,10,,,2,16.71,,,1,12.64,,,,,39,95.45,,,,,,,,,,
206,2,W,2,24,4-11cm,5-16cm,28,17,7-11cm,2-15cm,7,1,2-4lf,3lf,5,0,4-8cm,,0,0,,,6,7,2-4lf,2-4lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6lf,,,2,,4lf,,,,,1,,6lf,,,,,,,,,,16,15,t,t,1,,t,,,,,,,,,,,,,,32,83,84,86,85,82,85,89,83,64,88,0,0,0,5,2,22.67,,,,,,,1,0.69,1,16.27,,89.95,2,6.28,,,,,,,,
207,2,Std2,19,17,3-5cm,2-10cm,13,9,2-6lf,1-6lf,2,4,c,c-3lf,0,0,,,0,4,,c,21,22,1-3lf,1-2lf,1,10,5,3,10,5,2,11,3,4,4.3,1,5.3,0.7,5.6,0.7,5.7,0.8,5.4,0.7,5.5,1,5.1,0.7,5.4,0.7,5.9,0.8,5.4,1.2,144.6,,40,,10,15,001,75,25,001,75,15,010,100,20,010,8,5,40cm,20cm,1,2,6lf,15cm,,,,,,,,,,,,,,,,,,2,,t,12,10,t,t,1,,4lf,,,,,,,,,,,,,,31,43,56,58,64,53,48,61,32,47,49,0,20,20,30,,,3,9.9,,,,,,,,,3,3.8,1,0.43,,,,,,,,
208,2,WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,93,86,82,68,95,87,90,95,80,79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
301,3,Std3,0,0,,,2,1,2-6cm,2cm,0,0,,,0,0,,,0,0,,,5,17,2lf,2lf,8,1,12,8,5,17,3,4,8,4,5.4,1.1,5.5,1.2,5.3,0.8,5.2,1,6.3,1.4,4.8,0.8,5.6,0.2,5.8,1.1,4.8,0.9,5.3,0.9,181.9,,40,,5,20,011,75,25,001,90,20,010,100,30,010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,t,t,,,,,,,,,,,,,,,,,28,58,68,65,60,60,65,68,71,69,64,0,20,20,25,,,,,,,,,,,,,22,104.82,,,,,,,,,,
302,3,Early3,0,0,,,8,12,2-4lf,2-4lf,2,1,2-4lf,2lf,0,0,,,2,0,4lf,,36,35,1-2lf,1-2lf,4,4,3,9,7,5,4,10,4,7,4,0.7,4.3,0.8,4.2,0.9,5.2,0.9,4.2,0.5,2.8,0.4,3,0.4,4,0.6,3.5,0.4,3.7,0.6,138.7,,3,,10,5,001,75,20,010,85,30,010,100,40,010,,,,,1,,10cm,,,,,,1,,20cm,,,,,,,,,,,,,,16,11,t,t,,,,,,,,,,,,,,,,,32,55,75,61,57,71,55,78,64,66,66,10,10,10,30,,,,,,,1,26.73,,,,,42,193.86,,,,,,,,,,
303,3,Early2,0,0,,,11,17,2-4lf,2-6lf,4,3,c,c,0,1,,5cm,1,0,c,,15,2,1-2lf,1-2lf,4,1,5,2,6,9,3,3,3,3,4.1,0.7,4.9,1,3.2,0.5,4.7,0.7,4.7,0.9,3.2,0.5,3.6,0.4,3.7,0.6,3.6,0.6,3.7,0.8,140.7,,18,,10,5,001,75,25,011,85,30,010,100,40,010,,,,,1,3,6lf,30cm,,,,,,,,,1,,4lf,,,,,,,1,,3lf,10,2,t,t,,,,,,,,,,,,,,,,,30,75,66,60,59,65,52,78,59,64,64,0,5,10,30,,,5,37.31,,,,,,,,,13,53.38,,,,,,,,,,
304,3,W,0,0,,,16,14,4-22cm,3-18cm,6,5,4-8lf,2-4lf,0,0,,,4,1,4-8cm,6cm,2,99,1-2lf,1-4lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7cm,5cm,3,,,,,,,,1,,20cm,,,,,,,1,,t,2,5,t,t,1,,4lf,,,1,,t,,,,,,,,,38,88,89,89,82,88,84,89,86,99,84,0,0,0,0,,,1,9.5,,,,,,,1,36.69,7,35.56,1,3.41,,,,,3,6.67,,
305,3,WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,101,95,85,93,84,96,93,86,83,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
306,3,Std2,1,0,5cm,,6,9,1-5cm,1-7cm,1,5,2lf,c-2lf,0,3,,1-6cm,0,0,,,8,17,2lf,2lf,3,1,7,1,8,3,12,4,5,7,5.5,1.1,5.5,1.1,5.4,1,4.7,1,5.8,0.9,5.7,0.9,4,0.9,5.1,0.9,4.3,0.9,4.9,0.9,170.4,,25,,5,40,101,75,40,001,85,30,010,100,40,010,,,,,2,2,15cm,15cm,,,,,,1,,7cm,,,,,,,,,,,,,10,7,t,t,,,,,,,,,,,,,,,,,33,81,70,72,76,66,84,73,84,51,76,10,10,10,30,,,4,35.28,,,,,,,,,43,100.8,3,7.39,,,,,,,,
307,3,Early1,3,0,3cm,,20,12,2-6lf,2lf-20cm,9,11,2-4lf,2-4lf,0,0,,,6,2,c-2lf,2lf,18,27,1-4lf,1-3lf,5,3,13,5,6,2,6,4,2,9,5.6,0.9,4.6,0.8,4.3,0.6,4.3,0.9,4.5,0.6,4,0.6,3.6,0.5,4,0.6,4.6,0.8,3.9,0.7,212.1,,2,,15,10,001,80,20,001,85,20,010,100,30,010,,,,,3,3,40cm,20cm,,,,,,,,,,,,,,,,,,2,,t,8,10,t,t,1,4,4lf,7lf,,,,,,,,,,,,,29,83,60,62,51,83,42,71,66,70,59,0,5,10,40,,,4,95.39,,,,,,,,,24,93.04,1,4.23,,,,,,,,
308,3,Std1,5,5,3-6cm,3-7cm,7,6,2-4cm,1-4cm,0,2,,1-2cm,1,0,4cm,,3,5,c-2lf,c-4lf,2,5,2-4lf,2lf,3,6,8,12,9,8,5,7,4,8,5.7,1.4,4.1,0.9,5.7,1.1,5.2,1.2,5,1,5,0.9,5.7,1.1,5.3,1.1,4.4,0.8,5,0.7,139.9,,11,,5,30,011,75,40,001,85,20,010,100,30,010,,,,,1,5,10cm,50cm,,,,,,,,,,2,,5lf,,,,,,,,,3,6,t,t,,,,,,,,,,,,,,,,,39,57,68,66,47,57,70,58,68,76,79,0,20,20,30,,,4,119.55,,,,,,,,,8,23.53,1,1.07,,,1,2.58,,,,
401,4,Early3,0,0,,,1,4,4lf,2-5cm,0,2,,2-4lf,0,0,,,0,3,,c-4lf,4,0,2lf,,5,4,3,5,4,1,8,3,3,5,4,0.7,4.5,0.9,4.3,0.8,4,0.6,4.3,0.6,4.5,0.8,4.1,0.6,4.9,0.7,4.4,0.7,4.2,0.8,146.2,,17,,25,5,001,80,10,001,85,30,010,100,30,010,,,,,,3,,10cm,,,,,,,,,,,,,,,,,1,,t,,15,10,t,t,1,,3lf,,,,,,,,,,,,,,36,84,74,72,67,69,79,75,67,83,78,0,10,10,25,,,1,21.38,,,,,,,,,33,123.56,,,,,,,1,1.01,,
402,4,Early2,0,0,,,15,3,1-7cm,1-3cm,3,0,2-4lf,,0,2,,4-6cm,0,0,,,6,3,2lf,2lf,4,7,4,4,4,6,3,5,2,5,4,0.6,4.4,0.7,4.5,0.8,4.5,0.7,4.6,0.8,4.3,0.6,4.2,0.6,3.6,0.7,4.2,0.6,4.9,0.8,136.9,,12,,10,5,011,85,5,001,85,20,010,100,30,010,,,,,,5,,25cm,,,,,,1,,10cm,,,,,,,,,1,,t,,6,9,t,t,2,2,t,5lf,,,,,,,,,,,,,31,52,82,67,80,56,62,76,54,58,66,10,10,10,30,,,4,115.9,,,1,1.69,,,,,20,90.65,5,16.64,,,,,,,,
