Plot,Rep,Trt,PREC1CRAG,PREC2CRAG,PRES1CRAG,PRES2CRAG,PREC1LQ,PREC2LQ,PRES1LQ,PRES2LQ,PREC1NS,PREC2NS,PRES1NS,PRES2NS,PREC1LT,PREC2LT,PRES1LT,PRES2LT,PREC1GAL,PREC2GAL,PRES1GAL,PRES2GAL,PREC1GRAS,PREC2GRAS,PRES1GRAS,PRES2GRAS,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,NOCRUNCH1,CRUNCH1,NOCRUNCH2,CRUNCH2,NOCRUNCH3,CRUNCH3,NOCRUNCH4,CRUNCH4,NOCRUNCH5,CRUNCH5,NOCRUNCH6,CRUNCH6,NOCRUNCH7,CRUNCH7,NOCRUNCH8,CRUNCH8,NOCRUNCH9,CRUNCH9,NOCRUNCH10,CRUNCH10,Ryewt,Mort0DAT,NumPop0DAT,PopDist0DAT,Mort7DAT,NumPop7DAT,PopDist7DAT,Mort14DAT,NumPop14DAT,PopDist14DAT,Mort21DAT,NumPop21DAT,PopDist21DAT,Mort28DAT,NumPop28DAT,PopDist28DAT,28DATC1CRAG,28DATC2CRAG,28DATS1CRAG,28DATS2CRAG,28DATC1LQ,28DATC2LQ,28DATS1LQ,28DATS2LQ,28DATC1NS,28DATC2NS,28DATS1NS,28DATS2NS,28DATC1LT,28DATC2LT,28DATS1LT,28DATS2LT,28DATC1PIG,28DATC2PIG,28DATS1PIG,28DATS2PIG,28DATC1GAL,28DATC2GAL,28DATS1GAL,28DATS2GAL,28DATC1SCRAB,28DATC2SCRAB,28DATS1SCRAB,28DATS2SCRAB,28DATC1LCRAB,28DATC2LCRAB,28DATS1LCRAB,28DATS2LCRAB,28DATC1FP,28DATC2FP,28DATS1FP,28DATS2FP,28DATC1STK,28DATC2STK,28DATS1STK,28DATS2STK,28DATC1BARN,28DATC2BARN,28DATS1BARN,28DATS2BARN,28DATC1YF,28DATC2YF,28DATS1YF,28DATS2YF,Stand,Injury7DAP,Injury14DAP,Injury21DAP,Injury28DAP,TomMass,TomMassR,CRAGnum,CRAGwt,LQnum,LQwt,NSnum,NSwt,LTnum,LTwt,GALnum,GALwt,PIGnum,PIGwt,CRABnum,CRABwt,Fpnum,FPwt,BARNnum,BARNwt,YFnum,YFwt,STKnum,STKwt,GFnum,GFwt
101,1,W,5,13,3-8cm,3-10cm,10,37,1-8cm,1-8cm,1,7,4-5lf,2-4lf,0,0,,,0,2,,c-2lf,50,25,1-3lf,1-3lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5cm,7cm,1,,4cm,,,,,,,,,,,1,,15cm,,,,,6,10,t,t,3,4,t,t,,,,,,,,,,,,,,,,,41,,0,0,10,49.91,7.12,1,25.69,3,37.25,1,1.21,1,1.89,,,,,9,58.98,5,14.62,,,,,2,5.29,,
102,1,WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,0,0,0,170.06,10.39,,,,,,,,,,,,,,,,,,,,,,,,
103,1,Std1,1,0,3cm,,5,5,2-5cm,1-4cm,0,0,,,0,0,,,0,0,,,11,13,2lf,2lf,6,4,3,8,6,4,5,4,5,7,5.8,2.2,5.2,1.8,6.2,2.6,5.3,2.4,6.1,3.2,5.3,2,6.1,3.3,4.7,1.6,4.8,2.3,5.2,1.9,133.6,,70,,15,20,010,70,40,010,80,20,010,100,20,010,1,,30cm,,1,1,7cm,3cm,,,,,,,,,,,,,,,,,5,4,t,t,12,16,t,t,,,,,,,,,,,,,,,,,32,,5,10,90,22.44,4.17,1,88.87,3,42.02,,,5,71.34,,,,,63,183.02,9,15.09,,,,,,,,
104,1,Std2,0,0,,,5,3,1-4cm,1-3cm,0,0,,,0,1,,2cm,0,0,,,55,13,2lf,2lf,7,4,4,5,7,8,1,8,5,9,3.3,1.2,6,3.3,5.4,2.3,5.7,2.1,5.9,2.2,5.9,3.7,4.5,1.1,5.8,4.1,4.6,1.1,5.3,21.3,118.5,,30,,15,15,010,80,30,010,80,20,010,100,20,010,,,,,3,,20cm,,,,,,,,,,,,,,,,,,6,5,t,t,13,11,t,t,,,,,,,,,,,,,,,,,41,,0,10,80,16.12,1.57,,,2,29.34,,,,,,,,,60,224.46,5,13.07,,,,,,,,
105,1,Std3,0,0,,,2,7,1-3cm,1-5cm,0,0,,,0,2,,1-3cm,0,0,,,42,9,2lf,2lf,1,3,9,5,8,1,4,4,3,5,6.5,3.1,5.2,2,5.3,1.5,4,3.3,4.3,1.2,5.9,3.1,4.4,1.5,5.2,3,4.3,1.2,5,1.3,128.9,,40,,15,15,010,80,30,010,80,20,010,100,40,010,,,,,,3,,20cm,,,,,1,,20cm,,,,,,,,,,4,1,t,t,38,10,t,t,3,,t,,,,,,,,,,,,,,39,,0,10,80,19,2.82,,,,,,,1,10.62,,,,,94,297.85,9,10.01,,,,,2,0.68,,
106,1,Early1,0,1,,3cm,2,9,2-6cm,3-5cm,0,0,,,0,0,,,0,2,,c-4lf,36,6,2lf,2lf,5,6,7,4,5,3,4,6,5,5,5.3,1.8,5.1,1,5.3,1,4.9,1.1,4.5,0.8,5.9,1.5,4.2,0.6,4.3,1.5,4.4,1,5.3,1.5,99.9,,13,,15,10,010,75,25,010,80,30,010,100,50,010,,,,,3,4,15cm,25cm,,,,,,2,,20cm,,1,,25cm,,,,,6,3,t,t,24,18,,t,4,3,t,t,,,,,,,,,2,,t,,35,,0,10,90,11.23,1.54,1,127.87,4,27.54,,,,,,,,,33,135.21,8,35.73,1,1.93,1,4.56,,,,
107,1,Early2,0,0,,,0,4,,2-6lf,1,2,c,c,2,1,4lf,4lf,3,0,c-2lf,,72,12,1-3lf,1-2lf,6,6,5,7,4,5,5,4,6,7,4.4,1.5,2.3,3,4.6,0.8,3.4,1.2,4.1,1,4,0.6,4.2,1.1,4.9,0.8,4.9,0.7,4.6,1.1,94.6,,10,,15,5,010,80,20,010,80,40,010,100,70,010,,,,,,2,,7cm,,,,,1,,12cm,,,,,,,,,,2,3,t,t,11,9,t,t,4,4,t,t,,,,,,,,,,,,,33,,0,10,80,21.65,5.61,,,2,3.58,,,,,,,,,45,121.82,11,23.35,,,,,1,0.76,,
108,1,Early3,0,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,6,7,4,4,2,7,6,4.2,0.9,4.3,0.7,4.3,0.9,4.4,0.8,3.9,0.8,3.9,1.1,3.9,0.8,3.8,0.9,4.2,0.6,4.3,0.5,125.7,,9,,20,5,010,80,20,010,80,40,010,100,70,010,,,,,1,,20cm,,,,,,1,,6cm,,,,,,,,,,,,,,6,5,t,t,1,3,t,t,,,,,,,,,,,,,28,,15,10,80,19.45,2.94,,,,,,,2,41.5,,,,,37,128.1,3,25.15,,,,,2,2.59,,
109,1,Std+O1,0,0,,,3,2,2-12cm,2-6cm,1,0,4lf,,1,1,7cm,7cm,1,18,1cm,c-4lf,12,15,2lf,2lf,11,7,13,6,12,7,4,14,6,4,4.4,1.1,5.4,1.1,5.2,1,5.6,1.4,5.8,1.2,4.9,1.6,5.2,1.1,4.2,0.9,5.1,1.2,5.3,1.2,214.7,,2,,20,20,100,75,15,100,80,20,010,100,40,010,,,,,3,,50cm,,,,,,3,2,25cm,17cm,,,,,1,2,20cm,20cm,3,3,t,t,13,13,t,t,3,,t,,,,,,,,,,,,,,39,,0,5,70,33.61,9.8,,,2,277.24,,,2,76.92,5,19.91,,,30,90.95,11,13.62,,,,,2,1.36,,
110,1,Std+O2,0,0,,,0,5,,2-4cm,2,0,2lf,,14,0,2-7cm,,11,5,c-4lf,c-4lf,11,15,2lf,2lf,7,12,12,8,6,7,11,2,9,16,4.6,1.4,5,1,5.1,1.1,6.5,1.4,5.5,1.3,6,1.1,4.5,1.1,5.1,1.1,5.4,1.2,5.2,1.1,154.9,,1,,20,20,100,75,15,100,80,20,010,100,50,010,,,,,3,,10cm,,,,,,1,5,fl,15cm,,,,,2,,15cm,,,,,,4,,t,,7,1,t,t,,,,,,,,,,,,,38,,0,5,80,16.65,2.48,,,1,3.38,,,11,69.2,,,,,19,13.9,11,21.3,,,1,2.42,,,,
